cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
1410 0.287618 0.155047 0.118836 0.327076 0.243905 0.213162 0.304605 0.372295 0.321303 0.126359
1410 0.283656 0.158764 0.112846 0.331665 0.244586 0.209051 0.302198 0.375183 0.316414 0.122319
1410 0.283795 0.148172 0.116347 0.325169 0.244962 0.214250 0.310218 0.376530 0.325604 0.109133
156 0.211821 0.170915 0.085255 0.212727 0.286301 0.153757 0.287184 0.170278 0.276060 0.134628
156 0.207279 0.175377 0.080646 0.216683 0.283320 0.170721 0.293900 0.181411 0.269224 0.137957
156 0.204302 0.176370 0.073828 0.208073 0.282885 0.167998 0.285799 0.169966 0.280964 0.142914
157 0.235071 0.184524 0.128587 0.196517 0.273706 0.176954 0.425428 0.206141 0.238424 0.237384
157 0.234445 0.186086 0.128200 0.200836 0.265306 0.178329 0.421287 0.201201 0.238270 0.237199
157 0.224928 0.183221 0.133957 0.201859 0.271048 0.172277 0.408955 0.205151 0.245779 0.245891
158 0.216340 0.230552 0.228785 0.229665 0.304138 0.254594 0.491074 0.189326 0.213720 0.334267
158 0.217704 0.238274 0.233934 0.226122 0.318001 0.270077 0.492782 0.191154 0.216011 0.341693
158 0.220151 0.239322 0.227361 0.230039 0.314832 0.254872 0.497393 0.180118 0.220832 0.335008
159 0.262963 0.164997 0.168679 0.282786 0.241844 0.155924 0.296437 0.302585 0.261353 0.152380
159 0.275951 0.164656 0.190127 0.290002 0.235015 0.157748 0.303195 0.300521 0.276363 0.158401
159 0.264800 0.169140 0.167424 0.285041 0.249123 0.142668 0.307846 0.301768 0.267169 0.149606
1510 0.284838 0.150422 0.117103 0.327155 0.240872 0.219828 0.305830 0.381811 0.313655 0.121154
1510 0.289414 0.145620 0.127360 0.326874 0.246822 0.212534 0.310212 0.370975 0.318792 0.117802
1510 0.284366 0.164112 0.124741 0.339542 0.263721 0.203757 0.301061 0.373358 0.327068 0.120428
167 0.239873 0.458149 0.089662 0.262004 0.385380 0.367056 0.554269 0.160251 0.364215 0.461944
167 0.243509 0.465978 0.100007 0.254636 0.386604 0.377598 0.553218 0.156301 0.377682 0.461416
167 0.247267 0.451118 0.097605 0.271119 0.378685 0.357823 0.561223 0.144787 0.370920 0.450618
168 0.215831 0.307402 0.226124 0.343918 0.235689 0.186189 0.515134 0.187857 0.178066 0.336242
168 0.212663 0.309731 0.234971 0.343015 0.248249 0.188195 0.521630 0.173558 0.195538 0.343704
168 0.210286 0.299453 0.235622 0.343536 0.245848 0.179523 0.514519 0.183772 0.188899 0.337186
169 0.177645 0.218513 0.113790 0.275777 0.183130 0.262142 0.328847 0.314048 0.227796 0.145022
169 0.191861 0.218909 0.098560 0.272815 0.194663 0.269225 0.315244 0.320932 0.233921 0.150535
169 0.178180 0.223269 0.113583 0.277461 0.186513 0.278022 0.330073 0.317282 0.228617 0.143655
1610 0.204488 0.274633 0.104392 0.325656 0.232584 0.334218 0.241923 0.385138 0.242712 0.103845
1610 0.200456 0.266541 0.094236 0.328407 0.232386 0.332270 0.241666 0.389904 0.249125 0.111640
1610 0.205749 0.264456 0.101598 0.326747 0.236359 0.319128 0.241543 0.388735 0.242634 0.101758
