cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
238 0.262948 0.211782 0.519561 0.380672 0.410076 0.013639 0.137444 0.396945
238 0.262796 0.203589 0.527471 0.380537 0.416746 0.007396 0.126818 0.401941
238 0.255375 0.209602 0.516393 0.377789 0.408430 0.012374 0.134079 0.392293
245 0.256898 0.080621 0.068496 0.144422 0.397752 0.232475 0.183805 0.051555
245 0.266946 0.085453 0.068037 0.166741 0.405001 0.244821 0.195977 0.045276
245 0.261380 0.086258 0.067192 0.156565 0.403402 0.235940 0.190921 0.054797
246 0.394398 0.129584 0.156543 0.433513 0.245018 0.307768 0.150121 0.206249
246 0.391695 0.129412 0.155568 0.436465 0.244839 0.308828 0.151509 0.214458
246 0.398211 0.133983 0.154937 0.444152 0.246654 0.302710 0.151305 0.214404
247 0.285234 0.051095 0.188841 0.344294 0.282510 0.311667 0.090530 0.139505
247 0.284047 0.048785 0.170989 0.340554 0.287529 0.316417 0.082262 0.143839
247 0.289895 0.037619 0.175670 0.352089 0.289883 0.303076 0.078598 0.137869
248 0.288597 0.212844 0.012021 0.470812 0.232684 0.011242 0.248702 0.449272
248 0.289135 0.210108 0.020757 0.475722 0.234579 0.015383 0.246440 0.457229
248 0.289603 0.210747 0.015650 0.482599 0.244147 0.013634 0.253246 0.450100
256 0.389357 0.135589 0.162223 0.443929 0.251348 0.307222 0.153739 0.222150
256 0.399067 0.142239 0.154186 0.440116 0.253568 0.304902 0.154346 0.208756
256 0.393810 0.135644 0.156131 0.434912 0.251261 0.307958 0.154601 0.210804
257 0.289981 0.054020 0.186931 0.331930 0.284729 0.313403 0.086301 0.141971
257 0.292629 0.055585 0.180740 0.353733 0.294188 0.319137 0.089652 0.144138
257 0.291586 0.052052 0.179439 0.337234 0.291480 0.318455 0.095347 0.139965
258 0.284279 0.218147 0.013851 0.471707 0.233979 0.014861 0.251348 0.453371
258 0.283476 0.212691 0.011104 0.467315 0.228688 0.014473 0.240788 0.450061
258 0.288983 0.214882 0.020578 0.467722 0.236299 0.013150 0.259383 0.454390
267 0.299012 0.153812 0.074199 0.276196 0.436327 0.399462 0.308498 0.041006
267 0.300832 0.141468 0.084789 0.272485 0.431894 0.395672 0.305758 0.041298
267 0.302827 0.137769 0.081219 0.268909 0.429258 0.398135 0.304809 0.040675
268 0.412351 0.190266 0.015455 0.435672 0.428120 0.013171 0.553514 0.520356
268 0.406251 0.193433 0.009221 0.433077 0.422842 0.003189 0.551910 0.516512
268 0.405911 0.180281 0.015776 0.433834 0.426847 0.004247 0.551673 0.514975
278 0.411325 0.191977 0.005956 0.436741 0.426492 0.010144 0.556464 0.535105
278 0.410351 0.191348 0.011435 0.444321 0.422255 0.009335 0.555872 0.535513
