cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
46 0.267596 0.137498 0.208362 0.214410 0.129888 0.116494 0.137482 0.044391 0.105715
46 0.267199 0.130856 0.212715 0.199858 0.125295 0.120618 0.129857 0.040838 0.113688
47 0.299747 0.097552 0.156490 0.126119 0.334250 0.296444 0.043793 0.006721 0.122633
47 0.314385 0.084425 0.157080 0.121041 0.337321 0.299285 0.034661 0.011042 0.112460
47 0.318323 0.089311 0.158242 0.124023 0.334536 0.289663 0.028691 0.010033 0.117403
48 0.269985 0.286655 0.129766 0.301762 0.281384 0.009959 0.203368 0.451393 0.209456
48 0.280599 0.288803 0.141923 0.312070 0.287044 0.014406 0.204203 0.441441 0.198007
48 0.279239 0.283614 0.130410 0.309445 0.289443 0.011488 0.213454 0.455968 0.197869
49 0.184480 0.107870 0.034799 0.060057 0.202501 0.317252 0.180702 0.041352 0.109466
49 0.167025 0.108463 0.044724 0.050183 0.192474 0.313781 0.179609 0.038633 0.111666
49 0.191044 0.104975 0.038007 0.060918 0.201671 0.319416 0.183326 0.051555 0.108084
56 0.270055 0.125275 0.210873 0.203821 0.131560 0.121826 0.142080 0.035858 0.108691
56 0.275554 0.129520 0.208839 0.202831 0.135191 0.115089 0.138523 0.044574 0.111069
56 0.271208 0.125974 0.197826 0.198811 0.131005 0.119437 0.130356 0.046785 0.106797
57 0.315450 0.086178 0.165666 0.116877 0.347819 0.300918 0.026071 0.006017 0.111428
57 0.293737 0.091609 0.163726 0.112962 0.330474 0.294598 0.026485 0.013570 0.118120
57 0.305209 0.100693 0.154457 0.117202 0.324334 0.286026 0.040472 0.010076 0.118498
58 0.271427 0.285476 0.133137 0.306964 0.277021 0.016834 0.207552 0.439158 0.195552
58 0.275611 0.293201 0.130258 0.305253 0.284683 0.014950 0.204732 0.446350 0.197917
58 0.280068 0.289924 0.131075 0.313835 0.289351 0.013107 0.208674 0.447692 0.201249
59 0.188280 0.107249 0.044019 0.049251 0.194876 0.309665 0.177501 0.044334 0.109292
59 0.178397 0.112237 0.041017 0.055911 0.192758 0.320608 0.182807 0.037962 0.111124
59 0.175853 0.107629 0.035446 0.050271 0.193830 0.315080 0.189771 0.031581 0.109178
67 0.210777 0.210931 0.106513 0.223179 0.184963 0.409099 0.153339 0.096805 0.184797
67 0.208484 0.208767 0.117638 0.231460 0.185254 0.399483 0.148294 0.080827 0.192075
67 0.220923 0.211409 0.120527 0.230696 0.190502 0.400626 0.156014 0.086121 0.192932
68 0.136078 0.193004 0.018959 0.164423 0.181579 0.009781 0.369966 0.456262 0.220488
68 0.133873 0.193918 0.008099 0.163811 0.200149 0.007831 0.371493 0.460609 0.228631
68 0.146945 0.187308 0.012729 0.151801 0.191706 0.008132 0.365503 0.457820 0.224625
69 0.268034 0.486853 0.384819 0.379075 0.278571 0.260774 0.303676 0.135003 0.468403
69 0.258715 0.482078 0.385970 0.385077 0.275501 0.270185 0.308783 0.140048 0.475872
69 0.258572 0.488105 0.389014 0.375836 0.266920 0.263318 0.302785 0.130036 0.475652
78 0.309933 0.301808 0.151388 0.214489 0.215577 0.013449 0.339638 0.685021 0.396740
78 0.302529 0.300728 0.154168 0.215948 0.211872 0.004686 0.335680 0.681259 0.401032
78 0.305947 0.299625 0.153751 0.222382 0.205669 0.012345 0.334120 0.684686 0.398389
79 0.269968 0.374353 0.199620 0.102848 0.187856 0.197073 0.215419 0.240844 0.400309
79 0.268449 0.374818 0.199241 0.099982 0.194735 0.200411 0.217595 0.241892 0.394238
79 0.261234 0.387174 0.200804 0.116352 0.183652 0.203522 0.226546 0.259478 0.397251
89 0.307278 0.303892 0.139735 0.215630 0.199010 0.008675 0.339015 0.312802 0.407296
89 0.300926 0.291267 0.145922 0.219539 0.201207 0.008381 0.338464 0.312039 0.401008
89 0.298006 0.292434 0.149293 0.225918 0.205676 0.007889 0.333144 0.313955 0.399460
