cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7
12 0.113808 0.113632 0.053560 0.090424 0.076238 0.137999 0.111479
12 0.090394 0.110325 0.061712 0.068124 0.048561 0.148780 0.115223
12 0.095023 0.104827 0.061746 0.081343 0.057653 0.146243 0.128901
13 0.052498 0.193336 0.111656 0.110052 0.035345 0.241906 0.084176
13 0.056140 0.180198 0.103523 0.105153 0.045144 0.230502 0.081090
13 0.058295 0.184677 0.110251 0.113539 0.040543 0.241838 0.077215
14 0.113064 0.095894 0.082096 0.097885 0.105792 0.112051 0.100472
14 0.103156 0.108325 0.068208 0.102077 0.112441 0.115319 0.102674
14 0.117391 0.098947 0.073206 0.097089 0.108844 0.117145 0.095354
15 0.111205 0.099596 0.075615 0.099651 0.109836 0.099889 0.099740
15 0.106604 0.101427 0.076300 0.100143 0.114270 0.121274 0.100370
15 0.107605 0.105100 0.078960 0.099067 0.114658 0.110570 0.092161
16 0.156944 0.165071 0.086054 0.148289 0.100368 0.137553 0.141282
16 0.152278 0.163183 0.083063 0.133748 0.097614 0.132508 0.141587
16 0.146861 0.166777 0.067209 0.136675 0.099172 0.138663 0.127915
17 0.158424 0.155130 0.079595 0.137954 0.106834 0.145820 0.128737
17 0.151594 0.165513 0.080422 0.138514 0.113021 0.149300 0.135943
17 0.145843 0.171380 0.069093 0.136393 0.114792 0.142196 0.121841
23 0.071206 0.145497 0.044691 0.086533 0.026238 0.268808 0.051828
23 0.071920 0.156312 0.056645 0.077981 0.035564 0.269396 0.044698
23 0.065295 0.156053 0.060000 0.064619 0.041309 0.268183 0.045200
24 0.113513 0.171631 0.064256 0.122267 0.050618 0.132917 0.139558
24 0.107619 0.175376 0.061734 0.124462 0.057154 0.127410 0.156665
24 0.104060 0.177331 0.074212 0.121649 0.058497 0.119969 0.149080
25 0.111559 0.171779 0.065066 0.111636 0.057464 0.127251 0.146943
25 0.111591 0.180882 0.064698 0.110817 0.054020 0.126450 0.161125
25 0.118312 0.162184 0.070191 0.121843 0.066303 0.125854 0.152387
26 0.163888 0.093817 0.092668 0.062392 0.219451 0.179898 0.136233
26 0.170148 0.094878 0.087934 0.065161 0.219777 0.188091 0.135066
26 0.160766 0.095920 0.092232 0.065910 0.227729 0.188697 0.143142
27 0.166376 0.091616 0.090971 0.073186 0.225300 0.185963 0.128337
27 0.166561 0.101428 0.088051 0.067248 0.224487 0.180333 0.135509
27 0.166447 0.088762 0.084837 0.068377 0.228752 0.173992 0.131809
34 0.075654 0.170580 0.066788 0.104574 0.052459 0.228459 0.061257
34 0.066461 0.178891 0.072571 0.102935 0.047978 0.240932 0.064502
34 0.065122 0.181884 0.073521 0.106814 0.056211 0.234372 0.056359
35 0.060461 0.179828 0.065227 0.098725 0.038857 0.229528 0.050841
35 0.069732 0.178302 0.063778 0.097997 0.041864 0.233699 0.062728
35 0.079329 0.182372 0.052879 0.104135 0.048647 0.242439 0.069473
36 0.058855 0.238445 0.073811 0.163170 0.047571 0.236842 0.061796
36 0.054591 0.234495 0.076860 0.163388 0.054558 0.244217 0.081424
36 0.035371 0.231323 0.088750 0.156805 0.054366 0.245995 0.070505
37 0.053268 0.231021 0.068462 0.154631 0.048538 0.237175 0.068136
37 0.055999 0.237293 0.077511 0.158127 0.042845 0.242608 0.059512
37 0.058528 0.236198 0.079058 0.159255 0.044492 0.235182 0.075120
45 0.108303 0.194228 0.058531 0.091990 0.084526 0.149018 0.086320
45 0.102646 0.174465 0.056552 0.096689 0.073854 0.142601 0.078690
45 0.106249 0.182235 0.059786 0.100383 0.088340 0.148530 0.076710
46 0.113852 0.063912 0.063247 0.084120 0.058571 0.183958 0.119034
46 0.122724 0.071456 0.054174 0.092657 0.059539 0.191031 0.110695
46 0.122686 0.073987 0.047700 0.094197 0.072515 0.194858 0.113147
47 0.133900 0.079585 0.045064 0.096165 0.074348 0.194828 0.115550
47 0.127674 0.071234 0.043538 0.092643 0.069767 0.181702 0.122383
47 0.128783 0.072953 0.050665 0.089372 0.066822 0.192754 0.113438
56 0.133031 0.076699 0.054985 0.096625 0.070190 0.188342 0.112737
56 0.126316 0.077820 0.051585 0.089949 0.065598 0.190112 0.122917
56 0.119696 0.069069 0.055216 0.080266 0.060675 0.188805 0.115992
57 0.118097 0.072588 0.053953 0.085872 0.061093 0.197474 0.107026
57 0.120361 0.073025 0.052617 0.091009 0.073986 0.184688 0.111103
57 0.131737 0.073623 0.049811 0.087287 0.068519 0.198020 0.111736
67 0.100265 0.171684 0.059579 0.095288 0.085910 0.142984 0.073982
67 0.104426 0.182689 0.060941 0.086434 0.081317 0.143867 0.079981
67 0.095352 0.172085 0.061341 0.096140 0.091252 0.148837 0.079528
