cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
238 0.115086 0.155963 0.093854 0.020782 0.085348 0.126876 0.124973 0.210482
238 0.109986 0.168718 0.102151 0.037946 0.091897 0.121362 0.119268 0.214337
238 0.114286 0.174489 0.104030 0.029702 0.085790 0.142088 0.111610 0.214561
245 0.189727 0.107255 0.121923 0.097800 0.220492 0.134585 0.114397 0.078171
245 0.193707 0.101910 0.112787 0.090430 0.215936 0.150666 0.123631 0.073328
245 0.187265 0.106493 0.105312 0.083809 0.222525 0.151868 0.141913 0.076503
246 0.183646 0.185549 0.245088 0.349026 0.132837 0.263095 0.126013 0.171108
246 0.193126 0.186767 0.254702 0.347231 0.141474 0.270617 0.121633 0.185821
246 0.180950 0.190274 0.235924 0.336936 0.124513 0.261690 0.129440 0.159987
247 0.189211 0.185334 0.243462 0.352860 0.147824 0.271799 0.132624 0.187641
247 0.200644 0.177624 0.255353 0.351895 0.138715 0.259352 0.135839 0.174283
247 0.196407 0.177612 0.251680 0.354543 0.148991 0.265734 0.138224 0.185745
248 0.148788 0.195838 0.059199 0.166095 0.127308 0.053520 0.285340 0.057552
248 0.156065 0.194793 0.054185 0.165369 0.132425 0.048697 0.280657 0.047563
248 0.159663 0.194663 0.065716 0.172966 0.141180 0.044288 0.285232 0.051263
256 0.178164 0.186523 0.242103 0.345611 0.142525 0.269825 0.123898 0.185098
256 0.197426 0.182606 0.257192 0.345184 0.139809 0.260740 0.134364 0.178129
256 0.177552 0.185438 0.247274 0.340423 0.160807 0.269439 0.129094 0.183247
257 0.203587 0.182892 0.246408 0.345800 0.144956 0.270244 0.125725 0.187537
257 0.181024 0.198675 0.239889 0.334844 0.149024 0.273536 0.121833 0.187499
257 0.195588 0.176495 0.248983 0.354054 0.144450 0.268615 0.133531 0.183434
258 0.160780 0.187884 0.051079 0.169933 0.136784 0.044035 0.274705 0.050181
258 0.159082 0.189755 0.056471 0.183341 0.137034 0.047865 0.277326 0.049144
258 0.168469 0.189612 0.058297 0.173391 0.142388 0.054667 0.292678 0.055436
267 0.190680 0.106556 0.107760 0.092926 0.214477 0.149700 0.127675 0.072440
267 0.184876 0.118284 0.111690 0.082184 0.219814 0.150798 0.121805 0.086959
267 0.182345 0.114287 0.109951 0.093549 0.227802 0.151326 0.128158 0.072191
268 0.204168 0.085561 0.154785 0.121835 0.198472 0.059634 0.332953 0.260260
268 0.206613 0.077285 0.161147 0.125919 0.195418 0.051820 0.336164 0.260252
268 0.204025 0.087070 0.162276 0.130052 0.203887 0.037081 0.343052 0.274136
278 0.207785 0.088262 0.158718 0.126698 0.196478 0.062490 0.342860 0.264933
278 0.207138 0.089362 0.158875 0.127970 0.206100 0.057357 0.343645 0.260705
278 0.198722 0.082199 0.153992 0.120410 0.201998 0.049593 0.335562 0.265196
345 0.079695 0.309054 0.040785 0.189330 0.053064 0.345268 0.020189 0.029077
345 0.056238 0.309793 0.055299 0.198540 0.053290 0.352093 0.026533 0.020977
345 0.068237 0.315451 0.042820 0.190334 0.059441 0.348585 0.015295 0.021532
346 0.090736 0.245678 0.123368 0.045612 0.124284 0.481491 0.064511 0.197672
346 0.088232 0.241413 0.132307 0.044441 0.123979 0.485340 0.069011 0.193163
346 0.092795 0.243255 0.120994 0.040710 0.127863 0.475306 0.066406 0.195681
347 0.094370 0.240860 0.125521 0.048559 0.117301 0.480991 0.058417 0.195545
347 0.092852 0.241888 0.134386 0.043784 0.116574 0.480095 0.056249 0.194822
347 0.099886 0.245639 0.123474 0.031366 0.133663 0.481488 0.072795 0.197834
348 0.076552 0.217883 0.050344 0.059338 0.089191 0.083617 0.148570 0.188999
348 0.080019 0.218461 0.036314 0.066820 0.091366 0.085741 0.133013 0.191705
348 0.083738 0.217315 0.040539 0.056137 0.097738 0.091475 0.137606 0.194013
356 0.090610 0.245847 0.120048 0.035947 0.129898 0.482697 0.067297 0.199571
356 0.090687 0.242691 0.124469 0.036739 0.124444 0.481534 0.054406 0.201344
356 0.088463 0.239538 0.124923 0.049861 0.118532 0.485308 0.062379 0.193511
357 0.087863 0.240297 0.128814 0.038336 0.125436 0.487108 0.066919 0.199076
357 0.094239 0.245203 0.126546 0.042608 0.130002 0.476014 0.074551 0.197951
357 0.104316 0.242823 0.127727 0.044163 0.122222 0.480749 0.065004 0.197857
358 0.093213 0.225912 0.027607 0.050402 0.105261 0.097681 0.145638 0.190722
358 0.086135 0.213306 0.033603 0.066109 0.091670 0.094220 0.149195 0.191657
358 0.083393 0.219209 0.041844 0.057424 0.097830 0.092583 0.148568 0.187418
367 0.077545 0.307700 0.049998 0.180199 0.052965 0.343788 0.016508 0.021718
367 0.061129 0.307570 0.040088 0.193327 0.059074 0.346392 0.032259 0.023777
367 0.066564 0.304219 0.043793 0.196166 0.060904 0.346751 0.020007 0.032641
368 0.084669 0.288439 0.111599 0.187433 0.103728 0.103938 0.110241 0.283542
368 0.092258 0.291602 0.106730 0.189771 0.096527 0.089869 0.106993 0.281493
368 0.090503 0.310512 0.110677 0.186346 0.096501 0.092482 0.103732 0.272835
378 0.091709 0.300249 0.104602 0.177642 0.089511 0.091983 0.117175 0.288668
378 0.085731 0.297130 0.095783 0.184527 0.099249 0.090191 0.118754 0.283099
378 0.090876 0.296096 0.107038 0.183110 0.090281 0.096948 0.117044 0.276569
456 0.269701 0.228411 0.126288 0.198943 0.238205 0.334243 0.049869 0.116019
456 0.291606 0.235334 0.134840 0.187049 0.218182 0.331878 0.051102 0.117673
456 0.271204 0.215189 0.136777 0.204730 0.242390 0.335429 0.052513 0.118246
457 0.279410 0.226197 0.128188 0.197896 0.235107 0.338615 0.045760 0.117317
457 0.283901 0.221896 0.136472 0.196885 0.230404 0.340859 0.058132 0.110013
457 0.287626 0.235678 0.127964 0.193639 0.232089 0.334419 0.052008 0.115765
458 0.181069 0.213708 0.026711 0.130534 0.126423 0.036671 0.193006 0.114571
458 0.173805 0.205919 0.033716 0.128513 0.136955 0.043716 0.205482 0.115530
458 0.178978 0.213089 0.032338 0.127454 0.130322 0.046754 0.209771 0.104941
467 0.133640 0.120357 0.057164 0.085090 0.138867 0.273555 0.073630 0.090692
467 0.128119 0.123921 0.047739 0.101212 0.141436 0.286223 0.077184 0.093842
467 0.120642 0.111048 0.052064 0.093121 0.136292 0.275163 0.081951 0.085616
468 0.198935 0.096182 0.059976 0.127309 0.101373 0.042611 0.224042 0.283397
468 0.193796 0.102930 0.059936 0.120786 0.103003 0.035864 0.223641 0.279929
468 0.205023 0.099841 0.046330 0.130258 0.104850 0.058141 0.219354 0.273013
478 0.200201 0.100239 0.062837 0.125020 0.100846 0.040510 0.219160 0.279034
478 0.211049 0.094965 0.047940 0.131696 0.114481 0.051433 0.215848 0.278509
478 0.198446 0.084432 0.070108 0.126280 0.097371 0.049426 0.228386 0.278909
567 0.136161 0.124612 0.052056 0.106428 0.151633 0.273752 0.079210 0.094035
