cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
2710 0.148818 0.133050 0.064025 0.036147 0.074738 0.130949 0.213642 0.176527 0.114851 0.213642
289 0.167594 0.125795 0.069829 0.051871 0.082276 0.140042 0.190849 0.182589 0.125442 0.190849
2810 0.167691 0.102952 0.052947 0.048411 0.072105 0.103453 0.164298 0.158955 0.099077 0.164298
2910 0.156884 0.141017 0.073118 0.070536 0.064441 0.162202 0.299092 0.218342 0.239015 0.299092
345 0.104669 0.197034 0.052639 0.077773 0.044286 0.133254 0.320492 0.161814 0.111322 0.320492
346 0.115748 0.264034 0.032798 0.041848 0.030911 0.217243 0.316628 0.199599 0.138375 0.316628
347 0.099867 0.250847 0.041179 0.031501 0.034224 0.118501 0.290727 0.151041 0.096797 0.290727
348 0.099065 0.182847 0.033668 0.035721 0.027154 0.090163 0.279237 0.167900 0.079656 0.279237
349 0.168798 0.160265 0.075155 0.037434 0.043613 0.157211 0.288442 0.217459 0.141050 0.288442
3410 0.138695 0.186170 0.107262 0.055416 0.045643 0.162974 0.242848 0.235514 0.149709 0.242848
356 0.111451 0.256970 0.030511 0.051876 0.031524 0.200335 0.321955 0.199832 0.144758 0.321955
357 0.103354 0.238577 0.044760 0.041553 0.029539 0.120417 0.287047 0.156247 0.094171 0.287047
358 0.099431 0.178256 0.031551 0.038056 0.023688 0.084206 0.282547 0.161387 0.082975 0.282547
359 0.182203 0.148604 0.072333 0.047413 0.041484 0.143331 0.292945 0.221204 0.146745 0.292945
3510 0.149870 0.188280 0.109710 0.057817 0.039542 0.159508 0.236187 0.235844 0.158543 0.236187
367 0.093007 0.202687 0.024281 0.069651 0.028442 0.123820 0.283183 0.167404 0.079978 0.283183
368 0.098711 0.245556 0.041840 0.077112 0.044914 0.150073 0.283997 0.155921 0.100839 0.283997
369 0.166653 0.179575 0.114693 0.071652 0.068352 0.191844 0.288829 0.244032 0.151700 0.288829
3610 0.175102 0.189598 0.114958 0.073128 0.044260 0.159917 0.239699 0.208485 0.150208 0.239699
378 0.120360 0.236319 0.029250 0.070695 0.037268 0.169850 0.309703 0.189412 0.128342 0.309703
379 0.153505 0.197717 0.093827 0.056296 0.056862 0.133886 0.219663 0.143764 0.089838 0.219663
3710 0.155416 0.164538 0.097974 0.076286 0.041006 0.086314 0.245932 0.159368 0.083898 0.245932
389 0.157433 0.153512 0.084368 0.071306 0.049241 0.097177 0.222105 0.186586 0.096659 0.222105
3810 0.144374 0.192315 0.108458 0.050945 0.056909 0.145002 0.207431 0.167806 0.100049 0.207431
3910 0.118288 0.234973 0.034599 0.055474 0.031795 0.184829 0.296529 0.174571 0.140764 0.296529
456 0.160899 0.201479 0.110276 0.053744 0.044777 0.214223 0.311621 0.188402 0.198244 0.311621
457 0.158203 0.183754 0.113990 0.051358 0.049573 0.116809 0.271632 0.142220 0.138163 0.271632
458 0.166385 0.135336 0.113667 0.066960 0.045379 0.106325 0.249565 0.183388 0.111140 0.249565
459 0.192685 0.126064 0.078715 0.072054 0.054683 0.184244 0.288819 0.210497 0.189979 0.288819
4510 0.174903 0.117457 0.085471 0.059917 0.061345 0.155405 0.239538 0.245651 0.164518 0.239538
467 0.157829 0.128264 0.102464 0.029717 0.037623 0.122592 0.276208 0.174125 0.113778 0.276208
468 0.138937 0.178213 0.108328 0.041549 0.036938 0.131739 0.264750 0.156412 0.115392 0.264750
469 0.163893 0.124837 0.077476 0.059192 0.052757 0.183454 0.269942 0.241316 0.154673 0.269942
4610 0.198157 0.139559 0.088881 0.040904 0.045756 0.186074 0.277600 0.226143 0.169228 0.277600
478 0.163434 0.183429 0.121241 0.041438 0.032749 0.172884 0.320290 0.198148 0.163876 0.320290
479 0.171606 0.126627 0.094089 0.047313 0.062949 0.104843 0.203695 0.128788 0.103659 0.203695
4710 0.185013 0.101498 0.108045 0.029225 0.049725 0.098322 0.220543 0.170145 0.103934 0.220543
489 0.181633 0.100732 0.095405 0.038694 0.057971 0.104931 0.196718 0.182556 0.102609 0.196718
4810 0.154256 0.124230 0.098201 0.037067 0.043760 0.131245 0.185879 0.167342 0.097624 0.185879
4910 0.160980 0.182427 0.095742 0.045282 0.033583 0.191418 0.311695 0.205540 0.176500 0.311695
567 0.152067 0.123557 0.106059 0.030713 0.038658 0.127170 0.278550 0.168644 0.111423 0.278550
568 0.151110 0.176601 0.116167 0.048066 0.042685 0.125246 0.265189 0.150227 0.124346 0.265189
569 0.172478 0.119096 0.072381 0.078906 0.057892 0.172990 0.266417 0.233820 0.153833 0.266417
5610 0.193845 0.143970 0.092144 0.045929 0.055075 0.169086 0.270960 0.230892 0.175646 0.270960
578 0.173822 0.173607 0.115125 0.046005 0.039915 0.153414 0.317532 0.191024 0.162217 0.317532
579 0.174092 0.135190 0.088131 0.051823 0.053426 0.108108 0.204429 0.138360 0.104943 0.204429
5710 0.196545 0.108542 0.085339 0.031537 0.041830 0.092903 0.227534 0.169266 0.103231 0.227534
589 0.188794 0.095335 0.092489 0.038499 0.043393 0.108187 0.203726 0.177613 0.125067 0.203726
5810 0.175615 0.121234 0.087233 0.051559 0.047408 0.120670 0.188336 0.170449 0.104347 0.188336
5910 0.167186 0.172778 0.099678 0.054592 0.034373 0.167803 0.301968 0.198055 0.187775 0.301968
678 0.133579 0.128147 0.088749 0.065831 0.048899 0.175913 0.316055 0.138009 0.155744 0.316055
679 0.191803 0.119963 0.095861 0.055106 0.053803 0.135889 0.202526 0.165869 0.115802 0.202526
6710 0.180627 0.138684 0.090726 0.055670 0.049807 0.124920 0.208508 0.145284 0.097220 0.208508
689 0.177941 0.139489 0.082106 0.063844 0.068147 0.125318 0.187361 0.156887 0.114827 0.187361
6810 0.192025 0.138197 0.089989 0.058595 0.042162 0.118509 0.182160 0.189896 0.108074 0.182160
6910 0.139563 0.130883 0.091053 0.076570 0.049357 0.180531 0.324854 0.155621 0.169337 0.324854
789 0.176347 0.104055 0.053929 0.064831 0.060708 0.147640 0.286173 0.267328 0.195259 0.286173
7810 0.196577 0.137319 0.094527 0.056388 0.047208 0.159675 0.271374 0.225400 0.178769 0.271374
7910 0.152428 0.125834 0.095653 0.078431 0.049660 0.094404 0.288054 0.150321 0.145039 0.288054
8910 0.151518 0.142641 0.098573 0.049794 0.062041 0.143229 0.267447 0.135285 0.168271 0.267447
