cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
46 0.151782 0.052908 0.059216 0.098018 0.087292 0.319813 0.064995 0.166598 0.059753
46 0.159781 0.057719 0.058339 0.109955 0.104150 0.333871 0.050246 0.179656 0.051985
47 0.142894 0.113661 0.074228 0.147305 0.077034 0.409026 0.070327 0.238415 0.073629
47 0.153431 0.113542 0.071745 0.152626 0.099619 0.411561 0.064861 0.242577 0.077832
47 0.149969 0.113089 0.064747 0.154281 0.093808 0.416727 0.073397 0.236577 0.071453
48 0.176160 0.146987 0.027062 0.074492 0.092090 0.053051 0.252241 0.141150 0.219050
48 0.187461 0.143599 0.035067 0.067765 0.090521 0.046712 0.236909 0.140080 0.219730
48 0.191003 0.149262 0.040878 0.074439 0.094644 0.055779 0.237643 0.141004 0.217818
49 0.102336 0.054260 0.060932 0.097418 0.111172 0.227183 0.057442 0.025724 0.077566
49 0.108245 0.062776 0.054917 0.080865 0.112639 0.239842 0.036050 0.026706 0.092025
49 0.105155 0.061202 0.055909 0.087882 0.120664 0.240228 0.040683 0.026057 0.077439
56 0.147343 0.048174 0.070903 0.102136 0.092319 0.325379 0.057674 0.165479 0.051560
56 0.153141 0.063583 0.061768 0.100564 0.105490 0.328238 0.059005 0.167791 0.061446
56 0.144694 0.048485 0.068116 0.103970 0.090078 0.329923 0.056379 0.167434 0.062110
57 0.157090 0.109149 0.061975 0.147629 0.102494 0.418649 0.061402 0.236644 0.076308
57 0.149317 0.114143 0.071017 0.158980 0.100579 0.404366 0.073683 0.233605 0.079479
57 0.161956 0.127799 0.065790 0.161195 0.095912 0.423856 0.079687 0.242524 0.069991
58 0.184741 0.145339 0.035282 0.069254 0.095288 0.049316 0.236394 0.138299 0.213614
58 0.189996 0.139452 0.030283 0.067224 0.103955 0.051039 0.238619 0.135611 0.221089
58 0.180357 0.133571 0.040575 0.072174 0.089953 0.055060 0.245694 0.138796 0.222218
59 0.105314 0.065466 0.061709 0.082118 0.109588 0.224356 0.046628 0.025525 0.085122
