cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
46 0.140589 0.034730 0.012933 0.171289 0.100393 0.428272 0.018435 0.399373 0.008426
46 0.133807 0.025692 0.019681 0.168677 0.098219 0.431141 0.018954 0.386847 0.015903
47 0.159918 0.094164 0.013484 0.257964 0.109717 0.501323 0.022233 0.393477 0.017842
47 0.147965 0.072342 0.029927 0.246506 0.094929 0.481388 0.022052 0.382386 0.030933
47 0.165184 0.077485 0.029985 0.263644 0.109555 0.493726 0.024986 0.384157 0.033119
48 0.237132 0.178944 0.059960 0.077398 0.142886 0.093287 0.307052 0.129982 0.276882
48 0.241658 0.179012 0.054503 0.086157 0.141407 0.094097 0.295639 0.129548 0.270002
48 0.244949 0.168206 0.064630 0.087837 0.149300 0.083372 0.297242 0.141979 0.273917
49 0.044031 0.037266 0.028991 0.135786 0.156866 0.385693 0.024553 0.117519 0.027980
49 0.064800 0.040610 0.023579 0.126964 0.159412 0.394022 0.022816 0.120187 0.032377
49 0.058264 0.035163 0.019590 0.130131 0.169758 0.380284 0.015402 0.113915 0.031845
56 0.137904 0.022614 0.014280 0.157146 0.096657 0.431709 0.021046 0.394428 0.018007
56 0.139511 0.044705 0.023234 0.168446 0.095720 0.432364 0.022235 0.394932 0.020219
56 0.148135 0.035843 0.022930 0.169343 0.100956 0.428561 0.021229 0.397516 0.020347
57 0.155404 0.082706 0.029596 0.258863 0.107669 0.487344 0.030756 0.382022 0.023660
57 0.159631 0.073261 0.018944 0.253364 0.105263 0.491839 0.024486 0.394515 0.030673
57 0.156999 0.080148 0.017269 0.260930 0.110983 0.494443 0.022240 0.391116 0.029452
58 0.243903 0.175316 0.061150 0.082211 0.149853 0.097845 0.303828 0.140403 0.277291
58 0.230182 0.169622 0.059621 0.077235 0.138804 0.091513 0.303986 0.138351 0.280710
58 0.243820 0.173455 0.059283 0.080629 0.148102 0.095590 0.294361 0.138143 0.272938
59 0.056372 0.040084 0.016056 0.125682 0.161792 0.390803 0.031506 0.119065 0.021575
59 0.056986 0.022630 0.029679 0.131756 0.155307 0.385379 0.022932 0.103679 0.023086
