cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
1410 0.312645 0.062714 0.149426 0.224517 0.160689 0.313082 0.142929 0.272535 0.391358 0.078024
1410 0.312886 0.060590 0.136630 0.214378 0.159065 0.326383 0.149616 0.279686 0.381967 0.070024
1410 0.305004 0.073066 0.146183 0.211028 0.161843 0.316626 0.151165 0.285307 0.390208 0.070379
156 0.193187 0.145279 0.097366 0.104585 0.192097 0.224539 0.254615 0.180376 0.286606 0.103423
156 0.204430 0.129735 0.109544 0.104018 0.184090 0.224537 0.243342 0.191173 0.264747 0.088556
156 0.196421 0.134141 0.105272 0.112952 0.193073 0.211175 0.244201 0.189801 0.258346 0.105714
157 0.282149 0.153750 0.083687 0.136280 0.240646 0.193386 0.454423 0.280960 0.352475 0.157971
157 0.281866 0.142682 0.082468 0.136765 0.237582 0.187675 0.467009 0.269413 0.360301 0.173714
157 0.279146 0.141538 0.091790 0.144976 0.237006 0.187952 0.446639 0.286288 0.349571 0.153317
158 0.226764 0.181239 0.134667 0.255478 0.230499 0.227708 0.424910 0.346116 0.351130 0.166822
158 0.224320 0.185375 0.141121 0.254056 0.229964 0.243046 0.424364 0.356107 0.347897 0.172773
158 0.238106 0.186458 0.132386 0.248669 0.222836 0.234792 0.431605 0.358138 0.352226 0.178756
159 0.248997 0.110356 0.138401 0.151600 0.211824 0.247186 0.153116 0.266455 0.288309 0.092608
159 0.243146 0.106294 0.129224 0.143114 0.220114 0.254200 0.145905 0.263045 0.277576 0.089137
159 0.249143 0.112736 0.137987 0.160583 0.211365 0.236317 0.150796 0.274862 0.283715 0.086456
1510 0.305126 0.073571 0.140494 0.219197 0.174853 0.309819 0.150227 0.270039 0.383811 0.076067
1510 0.309990 0.070028 0.145425 0.220986 0.172376 0.314954 0.149272 0.274155 0.379812 0.083759
1510 0.315938 0.064919 0.153395 0.204657 0.156442 0.322439 0.147845 0.274505 0.381806 0.074862
167 0.210815 0.303081 0.159303 0.222423 0.118927 0.242912 0.403535 0.378761 0.300473 0.291097
167 0.206331 0.302430 0.152290 0.227206 0.128096 0.245269 0.401505 0.378574 0.283033 0.280478
167 0.205808 0.306970 0.154230 0.218084 0.127023 0.246889 0.405044 0.377562 0.289930 0.285836
168 0.182124 0.366848 0.098368 0.203282 0.163716 0.362324 0.457381 0.314346 0.392616 0.341350
168 0.172159 0.368345 0.088370 0.199170 0.163983 0.352090 0.453456 0.326614 0.393561 0.333489
168 0.162436 0.369333 0.087761 0.191981 0.168038 0.347771 0.451309 0.327878 0.402225 0.345443
169 0.223179 0.130822 0.133861 0.206265 0.121465 0.231641 0.160042 0.279997 0.284320 0.093533
169 0.233642 0.136469 0.135568 0.193239 0.130735 0.249983 0.168964 0.285875 0.279361 0.079663
169 0.227402 0.134178 0.132980 0.206520 0.121368 0.250168 0.171647 0.287429 0.285579 0.086920
1610 0.186247 0.135715 0.138776 0.255257 0.192243 0.408264 0.208790 0.296255 0.305373 0.128914
1610 0.183219 0.140944 0.133284 0.252224 0.187603 0.401679 0.210229 0.304257 0.305710 0.116347
1610 0.183521 0.143961 0.129300 0.251032 0.186498 0.411750 0.193546 0.284839 0.300483 0.133744
178 0.160415 0.237208 0.148619 0.207644 0.149508 0.358169 0.250998 0.194556 0.353130 0.122722
178 0.155284 0.250490 0.118531 0.202405 0.165410 0.359535 0.243670 0.193295 0.351591 0.130252
178 0.159791 0.230871 0.140390 0.200762 0.158344 0.370729 0.250570 0.203668 0.353111 0.125193
179 0.285100 0.203721 0.225960 0.318508 0.206703 0.293073 0.356374 0.461573 0.150939 0.375130
179 0.279120 0.220088 0.224176 0.322571 0.210627 0.297928 0.340220 0.471743 0.156771 0.380460
179 0.273779 0.215290 0.227139 0.326807 0.199759 0.292385 0.341862 0.469120 0.167242 0.372296
1710 0.356387 0.139169 0.238535 0.315883 0.204406 0.417333 0.354403 0.539456 0.226797 0.373282
1710 0.351923 0.142933 0.234915 0.300194 0.210878 0.426438 0.348374 0.535553 0.227265 0.370375
1710 0.352168 0.138890 0.232662 0.305337 0.202344 0.424065 0.352453 0.529712 0.220113 0.369520
189 0.349685 0.143043 0.227277 0.304952 0.207541 0.422740 0.344754 0.531689 0.219206 0.384529
189 0.352729 0.147516 0.240145 0.297933 0.208558 0.415167 0.346746 0.535100 0.225249 0.365006
189 0.350953 0.134947 0.235692 0.313964 0.200249 0.413577 0.352261 0.544773 0.211201 0.378455
1810 0.285018 0.210637 0.224352 0.320300 0.208263 0.291776 0.356580 0.468586 0.161205 0.374827
1810 0.272893 0.195951 0.232139 0.317037 0.200087 0.286962 0.342146 0.473328 0.166743 0.376344
1810 0.291753 0.212889 0.242261 0.322465 0.200145 0.296399 0.353441 0.470323 0.165782 0.387486
1910 0.166678 0.232988 0.151553 0.195544 0.156876 0.374636 0.253243 0.202395 0.352739 0.124973
1910 0.161168 0.231873 0.145487 0.205611 0.165051 0.364130 0.239155 0.204147 0.358082 0.117709
1910 0.160493 0.238448 0.142608 0.197557 0.149682 0.373128 0.244431 0.200218 0.352722 0.119170
234 0.074544 0.285318 0.155768 0.162959 0.088232 0.215206 0.289275 0.258540 0.160377 0.204439
234 0.076680 0.266697 0.152915 0.171450 0.096016 0.220802 0.288707 0.265176 0.159589 0.195560
234 0.079013 0.276945 0.160424 0.167217 0.094096 0.216268 0.293510 0.258889 0.160385 0.206152
235 0.077491 0.282459 0.158893 0.172964 0.087158 0.217092 0.278776 0.256410 0.162621 0.207119
235 0.068417 0.290543 0.167802 0.159769 0.079124 0.217320 0.291771 0.266931 0.162739 0.200669
235 0.072038 0.280895 0.164015 0.162120 0.084723 0.209544 0.295193 0.259053 0.156289 0.207920
236 0.132794 0.221396 0.102252 0.174002 0.104160 0.192661 0.265816 0.241012 0.140326 0.202633
236 0.137127 0.218314 0.096209 0.167957 0.092211 0.199315 0.274304 0.220634 0.154201 0.213058
236 0.134875 0.234814 0.107327 0.171228 0.109685 0.191751 0.276550 0.230637 0.146692 0.208164
237 0.147151 0.253365 0.103812 0.139279 0.121715 0.160192 0.312894 0.217576 0.129104 0.418433
237 0.147535 0.261844 0.108186 0.144759 0.114126 0.158254 0.319103 0.218927 0.141390 0.416767
237 0.156428 0.252201 0.103843 0.141830 0.114780 0.160871 0.298580 0.221420 0.118945 0.406571
238 0.102706 0.269776 0.082791 0.118484 0.096581 0.190999 0.314237 0.226000 0.133903 0.380902
238 0.081957 0.287435 0.094645 0.113417 0.112003 0.178242 0.316132 0.210695 0.135862 0.384195
238 0.099906 0.272830 0.082494 0.113071 0.095264 0.182996 0.322402 0.231911 0.142785 0.380767
239 0.152535 0.218047 0.233609 0.127038 0.105817 0.223763 0.225694 0.326424 0.176658 0.219860
239 0.152123 0.224492 0.243722 0.134018 0.100369 0.215386 0.226151 0.329373 0.189200 0.228603
239 0.158725 0.208063 0.231027 0.127483 0.101305 0.223206 0.236954 0.322256 0.187527 0.217610
2310 0.131282 0.217342 0.269394 0.120698 0.106238 0.283756 0.195584 0.261894 0.219452 0.238855
2310 0.143665 0.219093 0.270483 0.117579 0.101036 0.275921 0.195446 0.267248 0.205946 0.251148
2310 0.140917 0.207609 0.260988 0.127403 0.106788 0.285745 0.206518 0.271632 0.214056 0.242842
245 0.195413 0.136653 0.099549 0.111349 0.199632 0.219327 0.239819 0.187985 0.266559 0.094646
245 0.196492 0.139319 0.100974 0.101215 0.191100 0.215223 0.254532 0.192893 0.278454 0.098217
245 0.200973 0.128684 0.105348 0.097891 0.190674 0.222366 0.247849 0.195272 0.262022 0.091385
246 0.214805 0.180812 0.078539 0.231748 0.115690 0.191019 0.222714 0.175265 0.295882 0.119848
