cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
238 0.126897 0.202557 0.143551 0.156865 0.194397 0.149474 0.207544 0.162174
238 0.130600 0.207309 0.137364 0.167739 0.183502 0.162783 0.227236 0.148358
238 0.132664 0.196627 0.130319 0.158429 0.184180 0.152973 0.206259 0.156811
245 0.407383 0.131800 0.130423 0.148405 0.186103 0.377543 0.203582 0.079993
245 0.407692 0.134795 0.130980 0.170830 0.194038 0.382883 0.201274 0.086402
245 0.400073 0.144348 0.117334 0.166652 0.203797 0.380020 0.209371 0.073721
246 0.194887 0.171815 0.236885 0.427888 0.123777 0.371085 0.176591 0.366035
246 0.192717 0.187046 0.239973 0.413057 0.121622 0.370629 0.171976 0.365386
246 0.190778 0.186061 0.227349 0.416916 0.125335 0.367076 0.164112 0.359827
247 0.203832 0.175290 0.253459 0.430340 0.120811 0.371630 0.183018 0.361868
247 0.194979 0.178072 0.235241 0.422773 0.135932 0.372176 0.181433 0.375718
247 0.193738 0.174353 0.228316 0.421884 0.129363 0.365220 0.173665 0.369601
248 0.231668 0.258448 0.075822 0.103933 0.190084 0.050400 0.334250 0.028032
248 0.213897 0.259527 0.069172 0.105698 0.178926 0.050574 0.353680 0.030586
248 0.220831 0.262213 0.081019 0.101538 0.186067 0.055833 0.336799 0.033329
256 0.198513 0.173969 0.230058 0.422816 0.131770 0.374877 0.173014 0.375592
256 0.198596 0.176210 0.241792 0.427387 0.136291 0.367280 0.171211 0.376910
256 0.198515 0.178022 0.236525 0.418819 0.126815 0.362997 0.168485 0.370608
257 0.191253 0.179262 0.225015 0.415344 0.120247 0.367447 0.170213 0.362760
257 0.195516 0.178692 0.236945 0.423391 0.128465 0.367645 0.185267 0.367452
257 0.194647 0.185067 0.230260 0.415815 0.124422 0.368411 0.174847 0.368766
258 0.229623 0.255281 0.085177 0.103641 0.184622 0.051934 0.333904 0.030437
258 0.224271 0.258279 0.083539 0.098174 0.186585 0.053487 0.333402 0.042995
258 0.226905 0.254731 0.082779 0.099843 0.184884 0.048860 0.337492 0.025365
267 0.414446 0.136374 0.131200 0.155944 0.194160 0.371167 0.193882 0.056940
267 0.402625 0.144595 0.117889 0.156054 0.201204 0.378645 0.205369 0.073472
267 0.416226 0.134758 0.124415 0.163286 0.187886 0.372751 0.197885 0.075814
268 0.223113 0.085235 0.152118 0.224488 0.211486 0.084038 0.405558 0.203481
268 0.222897 0.090066 0.160918 0.229451 0.210308 0.084341 0.411970 0.207449
268 0.221030 0.097329 0.143385 0.232644 0.215111 0.084724 0.403928 0.198266
278 0.219531 0.092501 0.149837 0.224069 0.213037 0.092429 0.401767 0.197771
278 0.222690 0.104885 0.149318 0.230831 0.215747 0.074844 0.413179 0.205290
278 0.232480 0.086954 0.147379 0.227860 0.204359 0.070981 0.409406 0.206820
345 0.078248 0.306689 0.045043 0.280602 0.136310 0.463303 0.032108 0.073398
345 0.081784 0.308598 0.034024 0.278189 0.130863 0.451370 0.015064 0.056999
345 0.089226 0.313291 0.045123 0.281415 0.136189 0.461585 0.022055 0.074618
346 0.069035 0.225415 0.037475 0.114951 0.187878 0.523440 0.043068 0.267314
346 0.075885 0.241791 0.040781 0.114405 0.189898 0.515337 0.037623 0.260997
346 0.069959 0.237483 0.037510 0.115626 0.188440 0.512870 0.035295 0.263113
347 0.080742 0.236264 0.035169 0.119995 0.198710 0.527845 0.036233 0.267282
347 0.071519 0.228825 0.023644 0.118064 0.187461 0.507071 0.044981 0.256539
347 0.063411 0.236077 0.050825 0.111469 0.189212 0.525902 0.035612 0.273252
348 0.115058 0.255349 0.030598 0.088704 0.127497 0.109061 0.190049 0.105357
348 0.091388 0.244740 0.035564 0.089650 0.114262 0.122011 0.206946 0.104667
348 0.102642 0.244610 0.029509 0.078433 0.117369 0.116391 0.196913 0.108937
356 0.075047 0.233732 0.029463 0.119294 0.186150 0.520301 0.035675 0.266788
356 0.081582 0.230652 0.044431 0.112693 0.194181 0.525319 0.039768 0.275421
356 0.066187 0.230172 0.029854 0.112040 0.187659 0.521150 0.037317 0.256942
357 0.072561 0.233435 0.040745 0.114784 0.184621 0.511891 0.034596 0.261482
357 0.070267 0.231966 0.025062 0.117503 0.190981 0.507115 0.043420 0.250040
357 0.073976 0.236175 0.029923 0.115280 0.191106 0.516015 0.027465 0.269474
358 0.106995 0.257589 0.033792 0.092576 0.113255 0.119601 0.197853 0.096135
358 0.091539 0.253568 0.034043 0.087806 0.117283 0.127984 0.205350 0.101613
358 0.105639 0.262250 0.035497 0.091479 0.126321 0.117683 0.192757 0.095383
367 0.098512 0.316127 0.047827 0.281072 0.128273 0.455333 0.025721 0.070476
