cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7
12 0.099529 0.123027 0.056641 0.079750 0.065961 0.166450 0.142144
12 0.110159 0.116972 0.061690 0.087419 0.072879 0.159121 0.127228
12 0.106643 0.117168 0.064425 0.088902 0.071526 0.150996 0.135101
13 0.059694 0.215459 0.117948 0.105055 0.037012 0.254160 0.084739
13 0.071929 0.196539 0.109984 0.116150 0.056976 0.264539 0.099730
13 0.054121 0.215048 0.121529 0.100877 0.049871 0.272809 0.097663
14 0.112704 0.117522 0.076691 0.106361 0.131154 0.111182 0.106393
14 0.123521 0.099230 0.077649 0.110124 0.131704 0.107313 0.101255
14 0.113547 0.105604 0.072018 0.116905 0.134339 0.113459 0.112371
15 0.133087 0.088079 0.082229 0.110206 0.121006 0.103281 0.103465
15 0.132131 0.092717 0.076221 0.109407 0.124169 0.118438 0.108041
15 0.122597 0.097285 0.073346 0.118959 0.130867 0.115678 0.119318
16 0.167902 0.181056 0.085349 0.151234 0.117055 0.154867 0.155126
16 0.171894 0.175295 0.087653 0.146349 0.118273 0.155037 0.148414
16 0.162277 0.176312 0.088119 0.148731 0.110577 0.142063 0.152704
17 0.178135 0.181900 0.080915 0.150403 0.117984 0.150774 0.144796
17 0.159123 0.181107 0.081702 0.135837 0.112078 0.149487 0.155580
17 0.166477 0.183826 0.100054 0.154555 0.121889 0.155629 0.134153
23 0.076588 0.148362 0.059143 0.085573 0.036497 0.285287 0.072742
23 0.070704 0.168435 0.073197 0.076777 0.048856 0.290239 0.057311
23 0.064534 0.152511 0.059423 0.093979 0.046979 0.282901 0.057303
24 0.116273 0.185225 0.068817 0.134384 0.059524 0.133010 0.157792
24 0.140062 0.184286 0.087448 0.140240 0.074988 0.127501 0.158174
24 0.127003 0.185077 0.078564 0.128487 0.074551 0.123856 0.146956
25 0.127583 0.184348 0.071867 0.139242 0.071094 0.128326 0.147967
25 0.137596 0.176371 0.065808 0.139673 0.082687 0.121161 0.154645
25 0.132948 0.176759 0.067610 0.142019 0.082159 0.129225 0.151286
26 0.183339 0.100359 0.100214 0.084817 0.247464 0.189118 0.165475
26 0.192112 0.104748 0.099678 0.066721 0.251426 0.198956 0.179616
26 0.187855 0.090443 0.112867 0.072412 0.254285 0.201794 0.168243
27 0.200542 0.093133 0.103295 0.069960 0.238028 0.195200 0.170120
27 0.188714 0.101156 0.108920 0.075791 0.251367 0.189935 0.168345
27 0.198906 0.099295 0.110866 0.075447 0.250037 0.189810 0.162637
34 0.071142 0.193007 0.053741 0.102067 0.066786 0.242185 0.067667
34 0.071841 0.193673 0.069220 0.104222 0.063365 0.254846 0.072449
34 0.073157 0.185460 0.066675 0.118639 0.061153 0.253154 0.076438
35 0.074458 0.187401 0.056691 0.110771 0.054173 0.244035 0.078795
35 0.085013 0.182032 0.055362 0.109618 0.066446 0.248046 0.071202
35 0.062972 0.185645 0.065684 0.099148 0.048628 0.252411 0.062769
36 0.054433 0.249934 0.094488 0.172086 0.060051 0.271609 0.076552
36 0.063676 0.258475 0.074412 0.168418 0.067326 0.267259 0.075582
36 0.057545 0.241168 0.080133 0.179077 0.062104 0.257761 0.082149
37 0.058205 0.261408 0.069307 0.168380 0.066666 0.254785 0.096563
37 0.064150 0.249981 0.085830 0.164087 0.050269 0.267435 0.072321
37 0.063393 0.260057 0.082880 0.178869 0.062334 0.266695 0.074811
45 0.117363 0.188751 0.058966 0.110131 0.095512 0.162591 0.077081
45 0.110589 0.184921 0.061186 0.105930 0.104871 0.158175 0.082366
45 0.122151 0.194951 0.054765 0.105253 0.084084 0.168983 0.092892
46 0.131789 0.066267 0.061100 0.090053 0.073593 0.214883 0.134492
46 0.142645 0.074459 0.048216 0.104037 0.086300 0.222437 0.116160
46 0.132638 0.066629 0.053348 0.098780 0.070538 0.210981 0.123571
47 0.138482 0.084759 0.067489 0.090655 0.079011 0.215531 0.129899
47 0.150122 0.081123 0.049317 0.100327 0.084666 0.216053 0.115266
47 0.142975 0.079459 0.054469 0.099774 0.070396 0.190695 0.132148
56 0.141384 0.069589 0.056015 0.094750 0.078813 0.206127 0.124839
56 0.135044 0.071433 0.065073 0.102152 0.074418 0.195614 0.135930
56 0.143238 0.071193 0.047643 0.102203 0.075136 0.214381 0.123391
57 0.126595 0.069016 0.056748 0.095184 0.079286 0.217214 0.121221
57 0.142795 0.075416 0.043705 0.101078 0.079370 0.204109 0.116876
57 0.135740 0.068806 0.059570 0.093466 0.077706 0.210493 0.122263
67 0.113501 0.186929 0.055333 0.106060 0.089991 0.162865 0.089815
67 0.117473 0.201044 0.056927 0.095986 0.084759 0.172374 0.098902
67 0.118911 0.195181 0.051430 0.101845 0.087211 0.167766 0.081800
