cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7
12 0.126585 0.124729 0.058721 0.108922 0.103349 0.163327 0.147835
12 0.126098 0.125195 0.054693 0.105081 0.101795 0.178182 0.146163
12 0.118872 0.121781 0.049971 0.099342 0.087886 0.178610 0.150405
13 0.077479 0.240099 0.121852 0.115744 0.063584 0.296745 0.102095
13 0.080016 0.235709 0.116538 0.116964 0.070077 0.297855 0.106178
13 0.074010 0.236654 0.130121 0.114640 0.066164 0.306803 0.106378
14 0.152608 0.094031 0.088963 0.134022 0.151497 0.123430 0.148731
14 0.145798 0.101425 0.080309 0.143478 0.155394 0.123205 0.159919
14 0.148894 0.092427 0.069429 0.132146 0.160357 0.124292 0.158534
15 0.152488 0.091068 0.074745 0.135509 0.145606 0.126090 0.158330
15 0.141278 0.106966 0.064876 0.127240 0.158279 0.128300 0.154599
15 0.151480 0.098289 0.086185 0.146940 0.166043 0.128291 0.158884
16 0.171428 0.194379 0.123282 0.182297 0.130982 0.173969 0.176593
16 0.192718 0.188825 0.116922 0.178029 0.129105 0.173454 0.170458
16 0.176798 0.196415 0.127795 0.171945 0.133035 0.182272 0.170516
17 0.175051 0.191043 0.132175 0.181556 0.130029 0.172117 0.179626
17 0.169884 0.187747 0.130422 0.180622 0.141851 0.183384 0.181436
17 0.166752 0.200117 0.123547 0.173612 0.133988 0.176123 0.183790
23 0.096090 0.167380 0.069769 0.102851 0.068276 0.331281 0.075152
23 0.093297 0.167750 0.074336 0.106357 0.065802 0.327559 0.080617
23 0.092330 0.171698 0.073494 0.101365 0.075608 0.326539 0.072867
24 0.162371 0.200132 0.076547 0.170575 0.087402 0.137776 0.170295
24 0.159300 0.204725 0.083640 0.167629 0.088738 0.140398 0.180719
24 0.155706 0.206727 0.084344 0.166355 0.089465 0.142026 0.180756
25 0.162174 0.207490 0.088193 0.160540 0.089259 0.131068 0.172270
25 0.142490 0.199534 0.086513 0.156478 0.085318 0.144558 0.174091
25 0.151087 0.214034 0.085272 0.160970 0.091701 0.132562 0.172591
26 0.277915 0.084230 0.149792 0.093063 0.282916 0.208089 0.218233
26 0.280701 0.097125 0.146836 0.090928 0.285490 0.198263 0.240100
26 0.284555 0.089140 0.152559 0.082758 0.274687 0.210950 0.225334
27 0.276599 0.092629 0.145772 0.090224 0.278415 0.205777 0.234413
27 0.280187 0.082345 0.163111 0.085561 0.270323 0.198561 0.230089
27 0.272881 0.095304 0.150544 0.090703 0.272527 0.201724 0.239390
34 0.084758 0.217264 0.065264 0.099046 0.076870 0.258817 0.091110
34 0.087311 0.225597 0.060389 0.097137 0.080903 0.271513 0.080719
34 0.084319 0.219389 0.071611 0.096129 0.082910 0.287761 0.092544
35 0.097458 0.229218 0.063997 0.098301 0.082554 0.273383 0.105143
35 0.082199 0.215997 0.064352 0.102230 0.078055 0.273814 0.097024
35 0.085842 0.218755 0.057528 0.095244 0.074419 0.277492 0.098840
36 0.085050 0.308611 0.094786 0.196520 0.097465 0.324327 0.096349
36 0.087152 0.309662 0.114091 0.193635 0.083674 0.326444 0.095810
36 0.081083 0.303528 0.091190 0.195247 0.090314 0.317458 0.109394
37 0.090326 0.298729 0.102546 0.195611 0.088465 0.327254 0.094654
37 0.081885 0.308910 0.101767 0.195032 0.084816 0.326058 0.101196
37 0.082791 0.306876 0.094526 0.191544 0.079349 0.321076 0.109805
45 0.134483 0.215375 0.060659 0.145188 0.120383 0.189937 0.094654
45 0.132724 0.206118 0.051444 0.139439 0.117537 0.184391 0.092416
45 0.134559 0.216207 0.052219 0.132900 0.109042 0.195256 0.105251
46 0.162323 0.064537 0.045042 0.131590 0.096087 0.244203 0.135624
46 0.158174 0.057904 0.053270 0.123799 0.103133 0.231830 0.145586
46 0.172003 0.079532 0.042048 0.134441 0.108515 0.243437 0.120995
47 0.157819 0.065966 0.055443 0.113082 0.103908 0.253126 0.134563
47 0.164819 0.068834 0.040908 0.128896 0.114286 0.249146 0.128820
47 0.159835 0.070070 0.046909 0.122578 0.096922 0.252326 0.132112
56 0.157906 0.059150 0.052369 0.116168 0.086606 0.253112 0.136745
56 0.160171 0.064626 0.052275 0.124427 0.090697 0.233685 0.139839
56 0.166166 0.068191 0.048558 0.124801 0.101790 0.241825 0.143433
57 0.158998 0.070938 0.042935 0.126255 0.089405 0.248803 0.138438
57 0.167055 0.066874 0.047756 0.118945 0.098072 0.246575 0.131625
57 0.163744 0.064015 0.043341 0.123319 0.103207 0.250241 0.132845
67 0.136237 0.214956 0.057517 0.134304 0.118594 0.183142 0.099069
67 0.140045 0.217481 0.056105 0.128323 0.113453 0.182309 0.093403
67 0.139790 0.212110 0.056083 0.137124 0.119854 0.190114 0.094245
