1	1	7.099509	4.786790	-4.297724	2.467217	5.233927
2	2	3.309035	-9.163523	3.531636	1.626174	7.021668
2	2	3.309035	-8.513472	-0.842509	7.388231	3.991123
3	2	8.210223	5.521165	0.705255	-0.520182	7.916062
3	2	8.210223	-9.237960	6.604298	4.732551	5.544790
4	2	7.466845	-5.691886	2.099667	5.800725	4.879844
4	2	7.466845	4.829521	-0.361801	-2.707444	6.800331
5	2	8.036716	-1.856823	-0.564595	7.800814	-0.756059
5	2	8.036716	7.217667	-2.602854	1.092371	5.659314
6	1	4.180435	-15.381759	2.326420	6.416486	1.993065
7	1	8.252560	-9.622920	5.361746	1.651356	8.144126
8	2	7.547178	-8.511574	1.618535	8.133936	1.250643
8	2	7.547178	5.976886	-1.212111	-0.835820	7.051922
9	2	4.737241	-7.210667	-0.937810	7.801644	2.500732
9	2	4.737241	5.921239	-2.512686	-3.157067	8.537723
10	1	7.058567	4.224391	-0.846983	-2.244099	5.372418
11	2	6.010368	-8.187440	2.289197	6.145228	3.805602
11	2	6.010368	4.727468	-1.681599	-2.497693	6.264287
12	2	6.408779	-13.571807	4.600562	5.493221	2.837197
12	2	6.408779	3.318640	-0.262459	-2.010795	5.868331
13	2	4.389316	-7.257318	4.972561	-1.207288	6.759423
13	2	4.389316	-5.967349	-1.066668	4.797112	1.419097
14	2	5.527845	-11.153535	3.135535	6.381609	1.121531
14	2	5.527845	1.631355	-0.544099	-1.351462	7.225717
15	3	6.113388	3.715490	-1.573640	-1.261831	8.557138
15	3	6.113388	-5.700540	-0.695443	7.701457	2.235609
15	3	6.113388	2.952336	-4.233940	3.183974	2.260879
16	2	5.722945	0.997690	0.519703	-1.982949	6.150149
16	2	5.722945	-10.745362	0.317917	5.510172	-0.246769
17	2	4.662696	-5.654304	-0.948748	6.594700	0.203176
17	2	4.662696	-0.450688	-1.319757	5.926155	0.203173
18	1	7.424601	6.587354	-6.497659	-5.366186	7.945511
19	1	9.268928	8.482141	-4.123785	-4.136916	6.679154
20	1	8.650783	8.741193	-8.813029	-3.555627	7.200093
21	2	7.844389	-1.496368	-2.438611	4.854737	0.457571
21	2	7.844389	4.604100	-0.181161	-1.511294	6.089494
22	1	6.553412	-6.982237	2.007239	-0.191042	4.585372
23	2	7.745432	7.548016	-6.053055	-3.065751	6.686433
23	2	7.745432	-3.430002	-5.884768	6.084930	0.553814
24	3	9.074549	-7.987667	1.342495	8.351988	1.263395
