1	1	5.774207	3.475789	0.679607	5.181576	3.361853	5.757523	3.601643	4.240855	3.894854	-1.163528
2	2	8.313374	6.852728	-0.658898	6.359104	1.262351	3.603952	4.459310	6.622311	5.458493	1.104129
2	2	8.313374	5.094231	-0.659574	6.359277	6.047523	-2.093036	4.455671	4.942854	1.595329	5.130490
3	1	8.738702	0.360616	-6.731095	4.285545	3.772610	1.126417	1.672142	-2.740052	-0.683586	8.437573
4	1	6.736128	6.188394	7.388319	-0.465615	-3.009769	6.631930	6.295316	6.012449	6.927279	3.197582
5	2	5.916500	7.002545	0.878837	8.321008	-1.364713	2.406086	5.225708	8.087788	6.992475	-2.647454
5	2	5.916500	7.002742	6.329954	2.520121	-4.285552	5.860768	7.807377	8.087861	7.025741	-2.558208
6	1	8.466723	6.536649	6.373267	-1.003112	-5.793254	6.261840	4.622379	6.846525	6.994490	-0.087907
7	1	6.665015	3.035908	-6.179605	8.559299	6.469315	-6.169445	-2.190532	8.336240	-2.598983	4.605902
8	1	4.164666	-0.823870	-2.851357	8.915916	4.686165	-4.684239	-2.457998	0.559743	-2.032120	6.686580
9	2	7.860361	-0.313931	-4.731675	7.357065	4.844259	-5.997761	1.116715	2.398535	-2.823470	7.765479
9	2	7.860361	4.253842	-1.470432	7.355577	0.696899	-0.870906	6.589363	8.251193	6.345507	2.970506
10	1	5.386002	1.147642	-5.096635	8.257020	6.801362	3.218494	1.940124	6.718154	0.719560	5.106550
11	1	7.599787	-1.509853	-0.837541	4.842188	8.458630	-5.758091	4.134045	-0.975958	-5.913348	6.909931
12	1	6.023909	-3.352775	-4.680629	6.753172	4.275237	1.866106	-0.904562	0.309420	1.210208	9.090268
13	2	7.960429	5.230487	-1.000257	5.300217	6.981936	-2.922885	1.241267	8.082960	-4.835153	3.321689
13	2	7.960429	5.230515	4.704804	2.811770	4.609896	0.955599	4.244218	8.083137	-2.084664	3.320507
14	1	5.586439	4.165627	6.711628	-0.573236	-0.115075	5.971740	5.764781	3.302622	1.814171	5.455501
15	2	6.061781	5.431126	5.973849	3.336183	-0.697695	6.614120	7.275785	6.685860	5.743238	0.027931
15	2	6.061781	0.804846	-3.263347	8.590078	6.902800	-3.060393	0.654559	1.523723	1.320074	5.868638
16	1	7.502735	0.754609	-5.564811	7.978332	4.050603	-1.653351	-2.848139	2.719667	-0.395676	6.803795
17	1	4.280712	2.558978	-0.366372	5.415439	4.560816	-1.875316	0.675571	2.756144	-2.577460	6.877503
18	2	6.452644	2.255622	4.209224	2.409458	0.393977	8.115221	6.770963	0.596475	1.816028	7.183654
18	2	6.452644	4.721725	5.631884	2.324061	-5.558167	8.379785	6.898853	6.622602	6.922351	1.165079
19	1	6.273291	1.884002	-0.294919	8.230391	7.159491	-1.837689	1.003286	-0.053967	-1.699828	6.567501
20	2	5.803836	-1.784227	-0.867276	6.586568	6.048088	2.213779	-1.189047	2.001433	0.971447	5.569511
20	2	5.803836	4.082626	5.280623	2.990353	-3.277905	7.253290	4.784462	5.509658	6.071698	-0.037739
21	1	6.205486	-2.755832	-5.308996	7.382131	4.818953	1.230604	2.395926	1.010612	-3.870139	7.676061
22	1	7.524600	5.495079	6.008717	3.398114	-3.752060	5.034963	8.924388	7.110610	6.686655	5.436968
23	1	5.407538	-2.961978	-7.859490	7.964349	4.695536	-0.928121	3.805921	1.771546	0.457246	8.683281
24	1	8.248240	7.796064	7.578696	2.941566	-3.290376	6.849569	6.212751	5.652593	6.057663	2.355066
25	1	8.683277	3.587760	6.206326	-0.200410	-0.520570	1.252247	4.263423	1.332064	-3.070342	9.598303
