cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
1410 0.290019 0.084089 0.138591 0.149232 0.197698 0.240841 0.149365 0.270119 0.287364 0.105612
1410 0.292901 0.093160 0.150704 0.149006 0.204140 0.231051 0.148663 0.264612 0.293030 0.105092
1410 0.294382 0.076163 0.145550 0.151669 0.206075 0.238376 0.148181 0.269503 0.287609 0.105345
156 0.147423 0.143635 0.070394 0.091374 0.199885 0.161966 0.244402 0.123425 0.214064 0.108318
156 0.152711 0.132208 0.076910 0.100039 0.200817 0.154437 0.243514 0.117957 0.208776 0.102758
156 0.159829 0.124250 0.074001 0.089217 0.210294 0.176160 0.237873 0.127925 0.205751 0.108693
157 0.235268 0.140919 0.088388 0.129540 0.206978 0.170405 0.368832 0.241655 0.236144 0.168751
157 0.231112 0.147555 0.078252 0.132642 0.201197 0.165937 0.381531 0.255078 0.244474 0.170320
157 0.228219 0.153539 0.078495 0.130470 0.196409 0.163542 0.369570 0.245368 0.240660 0.176267
158 0.215958 0.129322 0.094957 0.173399 0.175196 0.200914 0.360252 0.226073 0.251992 0.159646
158 0.215938 0.132424 0.095335 0.171959 0.162003 0.189036 0.358856 0.233558 0.255808 0.149149
158 0.212117 0.130914 0.102893 0.171375 0.171307 0.185836 0.372698 0.213077 0.255598 0.157811
159 0.244925 0.107944 0.147751 0.106411 0.232369 0.190714 0.157216 0.244808 0.238762 0.129559
159 0.247510 0.112451 0.138177 0.108975 0.230502 0.182425 0.162223 0.244297 0.248900 0.137079
159 0.237311 0.100329 0.129754 0.113785 0.229726 0.175569 0.161243 0.246964 0.237930 0.124117
1510 0.289620 0.094004 0.143911 0.171081 0.216178 0.221029 0.152470 0.264912 0.285260 0.106697
1510 0.282981 0.084981 0.140942 0.151473 0.201623 0.226886 0.136614 0.260154 0.285795 0.111827
1510 0.297921 0.076042 0.142322 0.163337 0.206797 0.215860 0.145317 0.259127 0.290999 0.114970
167 0.170022 0.215498 0.109492 0.180553 0.093091 0.145064 0.350012 0.236273 0.268656 0.261527
167 0.172923 0.221576 0.108745 0.177869 0.094571 0.150136 0.356377 0.232343 0.273408 0.260543
167 0.189472 0.223787 0.112988 0.184067 0.092004 0.134222 0.341696 0.241127 0.263610 0.257017
168 0.142373 0.231695 0.089602 0.201911 0.099086 0.274759 0.406461 0.185591 0.182634 0.276760
168 0.153730 0.236443 0.095343 0.205686 0.094164 0.266122 0.417600 0.177479 0.178521 0.282555
168 0.156951 0.233426 0.090407 0.205593 0.094097 0.257880 0.422970 0.173260 0.182234 0.286655
